t_episode,t_rewards
1,-40.7286402475
2,-43.648477529
3,-23.918597173
4,-15.9862139599
5,-10.4203486927
6,-10.7279556537
7,3.84330838648
8,-0.953293031476
9,0.563032272703
10,-0.239030793517
11,25.3851149955
12,-7.93938118085
13,-16.6011302019
14,-4.76042740414
15,-17.5271539093
16,-2.39054096973
17,3.31213521165
18,-1.29707351428
19,0.740099916927
20,9.94248699463
21,4.07805629623
22,2.33571149695
23,-1.58727846489
24,9.63123697585
25,8.80360881168
26,1.8887487619
27,5.05779887618
28,6.29307304253
29,4.99247175131
30,9.1367395739
31,14.1594914103
32,13.873474514
33,10.1134717722
34,6.51815706867
35,20.9999918806
36,6.20009529071
37,10.6632486245
38,-3.87333990107
39,17.0126746567
40,-6.26891457568
41,-1.59235322089
42,-5.45832477646
43,-2.54165851444
44,1.3616220448
45,4.50918745445
46,-6.84890893312
47,11.3969773652
48,-7.453451968
49,4.36551900235
50,-6.70027995314
51,5.23812418616
52,15.6658628759
53,2.22285738315
54,15.250993952
55,15.7733097847
56,16.8625923976
57,4.17089874778
58,3.63385308545
59,14.9307545716
60,17.8679052665
61,10.1976639647
62,5.56187823661
63,-6.93099186772
64,-0.562825517109
65,8.18591359575
66,6.52165951591
67,11.6779434341
68,2.9024408223
69,12.3817812542
70,10.2727213629
71,9.29861490653
72,8.96974372464
73,9.01643893199
74,-0.894123053618
75,-1.58175051851
76,1.11267889114
77,14.0608739092
78,-1.82853473271
79,1.74876139833
80,5.09820003188
81,-0.168488026
82,0.766707609665
83,6.51705518664
84,7.93231497169
85,8.67434348137
86,4.8912016408
87,9.12123279126
88,5.64774992032
89,8.88454778957
90,6.75004816199
91,4.04502043824
92,-9.50175610593
93,4.95967838922
94,-1.75791578841
95,4.89757707624
96,-6.43968829721
97,5.12960325633
98,-7.02895831699
99,-10.4760331192
100,-45.7213522151
101,-120.882687861
102,-132.43395836
103,-15.7598478536
104,-150.270834678
105,25.4761810561
106,11.5362620435
107,9.3293981199
